Date,PETR3,VALE3
2017-01-02,16.530000686645508,25.059999465942383
2017-01-03,17.579999923706055,26.170000076293945
2017-01-04,17.3700008392334,25.700000762939453
2017-01-05,17.760000228881836,26.68000030517578
2017-01-06,17.489999771118164,25.969999313354492
2017-01-09,17.31999969482422,26.5
2017-01-10,17.610000610351562,28.540000915527344
2017-01-11,18.049999237060547,29.1299991607666
2017-01-12,18.350000381469727,30.06999969482422
2017-01-13,18.219999313354492,30.979999542236328
2017-01-16,18.25,31.81999969482422
2017-01-17,18.170000076293945,30.56999969482422
2017-01-18,18.030000686645508,32.11000061035156
2017-01-19,17.93000030517578,31.469999313354492
2017-01-20,17.829999923706055,32.099998474121094
2017-01-23,17.979999542236328,33.310001373291016
2017-01-24,17.729999542236328,34.130001068115234
2017-01-26,17.389999389648438,33.599998474121094
2017-01-27,17.079999923706055,33.70000076293945
2017-01-30,16.139999389648438,32.25
2017-01-31,16.190000534057617,32.18000030517578
2017-02-01,16.1200008392334,32.88999938964844
2017-02-02,15.899999618530273,32.65999984741211
2017-02-03,16.34000015258789,30.610000610351562
2017-02-06,15.970000267028809,29.920000076293945
2017-02-07,15.770000457763672,30.239999771118164
2017-02-08,16.100000381469727,30.59000015258789
2017-02-09,15.960000038146973,31.079999923706055
2017-02-10,16.350000381469727,32.79999923706055
2017-02-13,16.559999465942383,35.810001373291016
2017-02-14,16.809999465942383,34.400001525878906
2017-02-15,16.860000610351562,33.81999969482422
2017-02-16,16.969999313354492,33.77000045776367
2017-02-17,16.719999313354492,34.06999969482422
2017-02-20,17.079999923706055,36.43000030517578
2017-02-21,17.15999984741211,35.540000915527344
2017-02-22,16.600000381469727,34.689998626708984
2017-02-23,16.479999542236328,33.16999816894531
2017-02-24,15.960000038146973,32.720001220703125
2017-03-01,16.43000030517578,33.16999816894531
2017-03-02,15.850000381469727,31.459999084472656
2017-03-03,15.949999809265137,31.81999969482422
2017-03-06,15.880000114440918,31.100000381469727
2017-03-07,15.880000114440918,30.920000076293945
2017-03-08,14.899999618530273,30.1200008392334
2017-03-09,14.8100004196167,30.18000030517578
2017-03-10,14.789999961853027,29.649999618530273
2017-03-13,14.930000305175781,31.010000228881836
2017-03-14,14.369999885559082,31.170000076293945
2017-03-15,14.75,33.31999969482422
2017-03-16,14.380000114440918,32.529998779296875
2017-03-17,13.850000381469727,31.299999237060547
2017-03-20,14.180000305175781,31.6299991607666
2017-03-21,13.699999809265137,29.040000915527344
2017-03-22,14.149999618530273,29.399999618530273
2017-03-23,14.140000343322754,29.239999771118164
2017-03-24,14.170000076293945,29.0
2017-03-27,14.430000305175781,29.389999389648438
2017-03-28,14.680000305175781,29.809999465942383
2017-03-29,15.15999984741211,30.110000610351562
2017-03-30,15.100000381469727,30.100000381469727
2017-03-31,15.149999618530273,29.790000915527344
2017-04-03,15.319999694824219,29.510000228881836
2017-04-04,15.430000305175781,30.649999618530273
2017-04-05,15.329999923706055,29.450000762939453
2017-04-06,15.279999732971191,28.90999984741211
2017-04-07,15.369999885559082,29.149999618530273
2017-04-10,15.630000114440918,29.030000686645508
2017-04-11,15.25,28.65999984741211
2017-04-12,15.1899995803833,27.420000076293945
2017-04-13,14.510000228881836,27.420000076293945
2017-04-17,14.649999618530273,27.43000030517578
2017-04-18,14.460000038146973,26.610000610351562
2017-04-19,14.050000190734863,26.670000076293945
2017-04-20,14.270000457763672,28.049999237060547
2017-04-24,14.390000343322754,27.450000762939453
2017-04-25,14.680000305175781,28.350000381469727
2017-04-26,14.420000076293945,27.729999542236328
2017-04-27,14.199999809265137,26.829999923706055
2017-04-28,14.359999656677246,27.469999313354492
2017-05-02,14.359999656677246,28.059999465942383
2017-05-03,14.449999809265137,26.31999969482422
2017-05-04,14.0600004196167,25.350000381469727
2017-05-05,14.8100004196167,26.049999237060547
2017-05-08,14.720000267028809,26.030000686645508
2017-05-09,14.880000114440918,26.5
2017-05-10,15.350000381469727,26.559999465942383
2017-05-11,15.319999694824219,26.31999969482422
2017-05-12,15.930000305175781,25.90999984741211
2017-05-15,16.190000534057617,26.649999618530273
2017-05-16,16.190000534057617,27.260000228881836
2017-05-17,16.100000381469727,26.84000015258789
2017-05-18,14.270000457763672,26.860000610351562
2017-05-19,14.40999984741211,27.25
2017-05-22,14.3100004196167,27.920000076293945
2017-05-23,14.420000076293945,28.260000228881836
2017-05-24,14.8100004196167,27.520000457763672
2017-05-25,14.460000038146973,27.700000762939453
2017-05-26,14.550000190734863,27.860000610351562
2017-05-29,14.550000190734863,27.860000610351562
2017-05-30,14.170000076293945,28.600000381469727
2017-05-31,13.619999885559082,27.170000076293945
2017-06-01,13.539999961853027,26.670000076293945
2017-06-02,13.739999771118164,26.780000686645508
2017-06-05,13.979999542236328,26.489999771118164
2017-06-06,13.989999771118164,26.579999923706055
2017-06-07,13.680000305175781,26.450000762939453
2017-06-08,13.699999809265137,27.020000457763672
2017-06-09,13.779999732971191,27.299999237060547
2017-06-12,13.779999732971191,26.84000015258789
2017-06-13,13.869999885559082,26.3700008392334
2017-06-14,13.539999961853027,26.100000381469727
2017-06-15,13.539999961853027,26.100000381469727
2017-06-16,13.489999771118164,25.559999465942383
2017-06-19,13.329999923706055,26.389999389648438
2017-06-20,13.010000228881836,25.709999084472656
2017-06-21,12.779999732971191,26.469999313354492
2017-06-22,13.050000190734863,27.020000457763672
2017-06-23,12.890000343322754,27.239999771118164
2017-06-26,13.09000015258789,27.469999313354492
2017-06-27,12.989999771118164,27.920000076293945
2017-06-28,12.880000114440918,28.790000915527344
