LREN3,RADL3,MGLU3,VIIA3,AMER3
31.41,23.06,14.97,8.06,33.18
30.68,21.97,14.38,7.91,33.23
31.48,22.41,14.5,8.21,34.25
31.31,22.67,14.17,8.0,33.73
32.36,22.86,14.56,8.14,36.83
32.57,22.55,14.28,8.18,38.42
31.16,22.11,13.73,7.8,38.38
31.62,21.52,13.25,7.49,39.03
30.22,21.22,12.41,6.92,34.83
29.01,21.42,12.42,6.97,33.16
29.73,22.25,12.34,7.09,33.74
28.5,21.91,11.98,6.66,31.86
29.3,22.82,11.6,6.62,32.36
29.28,22.55,11.15,6.37,29.58
29.17,23.09,10.81,6.15,29.21
30.05,23.34,11.3,6.65,30.7
31.55,23.69,11.55,6.9,32.72
30.86,24.11,11.08,6.58,32.24
31.48,24.04,12.44,7.29,34.37
30.86,24.03,11.93,7.06,32.14
32.18,24.21,13.13,7.54,34.59
32.61,23.29,13.02,7.05,33.85
33.78,22.73,13.65,6.17,34.75
32.09,22.72,11.15,6.21,36.78
31.07,22.92,9.74,5.73,33.55
30.84,23.23,9.27,5.5600000000000005,32.69
31.71,23.08,8.99,5.58,32.82
32.18,23.3,9.27,5.72,33.01
31.04,23.29,8.84,5.71,30.84
31.01,23.54,8.6,5.92,30.77
30.47,23.4,8.82,5.87,31.45
30.63,23.45,8.7,5.95,31.94
29.23,22.61,8.06,5.68,29.95
28.81,22.56,8.04,5.85,30.93
28.32,22.33,7.8,5.67,29.82
28.16,21.76,6.88,5.2,27.82
28.48,22.18,6.76,5.15,26.98
29.12,22.77,7.05,5.36,27.35
29.66,22.74,7.3,5.61,29.33
29.33,23.23,7.62,5.8,29.3
29.47,23.7,6.8100000000000005,5.77,30.08
28.12,23.49,6.28,5.36,27.5
28.27,24.01,6.37,5.48,28.03
27.69,23.96,6.05,5.31,26.77
26.33,24.14,5.74,4.96,26.23
26.87,23.99,6.17,5.2,28.18
26.08,24.06,6.4,4.91,30.7
26.12,24.25,6.66,4.85,30.8
25.15,24.15,6.33,4.74,30.57
24.58,24.19,6.42,4.61,30.29
24.6,24.08,6.16,4.5,30.11
24.17,24.1,6.2,4.5,30.22
24.37,24.07,6.78,4.86,31.37
24.46,23.71,6.83,4.95,30.51
23.9,23.78,6.76,5.02,30.5
24.44,24.3,7.22,5.25,31.05
23.08,23.25,6.72,4.98,30.5
22.8,23.35,6.61,4.73,29.46
21.69,22.27,6.42,4.57,28.14
22.8,21.8,6.25,4.36,28.77
22.99,21.48,6.22,4.17,27.24
22.74,21.06,5.74,4.01,26.69
23.26,21.49,5.87,4.04,27.58
24.65,22.1,6.31,4.11,28.99
24.76,21.0,6.09,3.99,29.1
23.97,21.0,6.33,3.9699999999999998,29.81
23.49,20.54,6.12,3.9,29.96
23.5,20.58,5.89,3.75,29.71
24.85,20.54,6.31,4.0,32.65
26.14,20.45,6.65,4.21,33.61
26.44,21.0,6.9,4.35,34.39
25.88,21.0,6.39,4.22,33.7
27.01,21.6,6.72,4.35,34.71
27.75,21.97,6.75,4.35,33.57
27.93,22.38,7.22,4.62,32.91
28.15,22.7,6.71,4.57,30.89
28.12,23.16,7.0,4.72,31.18
26.98,22.82,7.01,4.7,31.09
26.59,22.96,6.51,4.4,31.21
26.67,22.66,6.53,4.48,32.0
26.2,21.98,6.33,4.22,32.15
25.69,22.01,6.31,4.06,32.2
25.58,21.9,6.54,4.14,33.27
25.91,22.5,6.6,4.04,34.03
25.58,22.4,6.9399999999999995,4.34,33.95
25.35,22.3,6.35,4.12,32.54
25.91,23.0,6.48,4.02,33.72
27.11,23.45,6.84,4.12,35.86
27.51,23.5,6.82,4.15,35.44
27.23,23.56,6.63,4.01,34.28
27.6,23.7,6.36,3.94,33.72
26.37,23.31,6.02,3.76,31.49
25.93,23.75,6.07,3.87,29.79
25.7,22.32,5.91,3.82,29.69
25.51,23.19,6.12,3.91,30.2
25.32,23.36,6.01,3.79,30.5
25.24,23.08,6.31,3.86,32.45
24.76,23.85,6.31,3.74,31.1
24.13,23.79,6.29,3.62,30.09
22.21,22.95,5.89,3.41,27.65
