LREN3,RADL3,MGLU3,VIIA3,AMER3
43.97,17.56,9.41,6.73,40.51
43.89,17.68,9.09,7.06,41.75
44.62,17.6,9.09,7.18,42.18
43.67,17.56,8.57,6.9,41.28
42.77,17.5,8.4,6.79,41.04
41.88,17.3,8.38,6.48,40.24
42.23,17.56,8.51,6.85,40.51
43.27,18.4,8.68,7.0,43.52
44.67,18.12,9.27,7.31,44.85
45.0,18.1,9.03,7.73,46.06
44.81,17.74,9.11,7.79,45.87
44.29,17.84,8.93,7.5600000000000005,44.98
44.97,18.0,9.25,7.62,46.13
44.73,17.89,9.13,7.55,45.67
44.48,17.86,8.96,7.38,45.18
44.05,17.86,8.51,7.01,42.63
44.02,18.19,8.09,6.78,40.57
45.43,18.58,8.61,6.98,41.9
44.78,18.41,8.71,7.1,42.26
43.44,18.21,8.48,6.91,40.92
43.35,18.22,8.67,6.95,41.93
44.0,18.5,8.67,6.97,42.54
44.24,18.13,8.72,7.03,44.0
45.1,18.3,8.91,7.4,46.53
44.6,18.41,9.1,7.4,46.57
44.02,18.45,8.95,7.5600000000000005,46.35
44.06,18.96,9.15,7.47,48.37
44.1,18.86,9.14,7.64,46.55
44.63,18.9,9.1,7.86,46.83
44.73,18.94,9.16,7.87,47.86
44.99,18.87,9.21,7.92,47.39
45.01,18.89,9.32,7.8,47.64
43.24,18.75,9.08,7.47,47.15
43.48,18.82,9.28,7.8,47.14
43.64,19.99,9.65,7.89,48.02
43.14,20.11,9.55,7.83,47.89
43.16,19.7,9.47,7.72,46.72
43.62,19.98,9.88,7.59,48.5
43.31,19.83,9.7,7.53,48.12
44.83,19.89,10.09,7.75,51.94
45.22,19.9,10.51,7.78,52.92
45.73,19.92,10.42,7.79,53.71
46.2,20.26,10.66,7.82,55.01
46.15,19.98,10.76,7.9,53.76
45.73,20.41,10.71,7.84,53.41
46.43,20.79,10.74,7.8100000000000005,53.41
46.27,20.92,10.89,7.8100000000000005,53.59
45.54,20.36,10.84,7.65,53.28
43.92,20.78,10.78,7.49,53.69
45.01,21.08,10.47,7.43,52.89
44.61,21.07,10.63,7.36,52.09
44.76,21.55,10.25,7.35,51.14
44.82,21.53,10.97,7.4,51.87
45.24,21.66,11.12,7.42,49.79
46.06,22.25,11.76,7.64,50.11
45.5,22.41,11.21,7.57,49.53
44.14,22.04,10.97,7.38,51.5
44.92,22.18,11.26,7.45,53.18
44.74,22.07,11.01,7.42,52.04
43.61,21.96,10.92,7.25,51.04
45.06,22.06,11.22,7.31,52.04
44.13,21.66,10.81,7.09,51.25
43.94,21.37,10.59,7.02,50.95
46.08,22.1,11.03,7.6,53.13
45.52,21.93,11.21,7.5600000000000005,52.61
45.09,22.02,11.09,7.45,52.88
45.51,22.2,11.21,7.55,53.86
45.74,22.4,11.34,7.86,54.86
45.73,21.97,11.04,7.93,54.02
45.47,22.04,10.72,7.95,52.35
